"filename", "language", "JSON", "TypeScript", "Markdown", "JavaScript", "YAML", "JSON with Comments", "Properties", "Shell Script", "Python", "Docker", "pip requirements", "HTML", "comment", "blank", "total"
"/home/dungnv/work-space/nal/ccb-cdk-codebase/lib/construct/oidc-iamrole-construct.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 5, 51
"/home/dungnv/work-space/nal/ccb-cdk-codebase/lib/construct/opensearch-constructs/opensearch-construct.ts", "TypeScript", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 16, 139
"/home/dungnv/work-space/nal/ccb-cdk-codebase/lib/construct/opensearch-constructs/opensearch-serverless-construct.ts", "TypeScript", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 10, 127
"/home/dungnv/work-space/nal/ccb-cdk-codebase/lib/construct/sns-construct.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 46
"/home/dungnv/work-space/nal/ccb-cdk-codebase/lib/construct/vpc-construct.ts", "TypeScript", 0, 135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 20, 180
"/home/dungnv/work-space/nal/ccb-cdk-codebase/lib/construct/waf-construct.ts", "TypeScript", 0, 260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98, 18, 376
"/home/dungnv/work-space/nal/ccb-cdk-codebase/lib/stack/backup-plan-stack.ts", "TypeScript", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 48
"/home/dungnv/work-space/nal/ccb-cdk-codebase/lib/stack/backup-vault-stack.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22
"/home/dungnv/work-space/nal/ccb-cdk-codebase/lib/stack/cloudfront-stack.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"/home/dungnv/work-space/nal/ccb-cdk-codebase/lib/stack/db-aurora-stack.ts", "TypeScript", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 67
"/home/dungnv/work-space/nal/ccb-cdk-codebase/lib/stack/ecs-app-stack.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 50
"/home/dungnv/work-space/nal/ccb-cdk-codebase/lib/stack/elasticache-redis-stack.ts", "TypeScript", 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 12, 127
"/home/dungnv/work-space/nal/ccb-cdk-codebase/lib/stack/monitor-stack.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 42
"/home/dungnv/work-space/nal/ccb-cdk-codebase/lib/stack/oidc-stack.ts", "TypeScript", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 46
"/home/dungnv/work-space/nal/ccb-cdk-codebase/lib/stack/opensearch-stack.ts", "TypeScript", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 8, 60
"/home/dungnv/work-space/nal/ccb-cdk-codebase/lib/stack/pipeline-infraresources-stack.ts", "TypeScript", 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 112
